epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
95,6160.69,0.26182,0.12791,0.00236,0.99022,0.99722,0.99469,0.99234,0.10397,0.05314,0.00086,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898
96,6226.43,0.2606,0.12925,0.00237,0.99194,0.99578,0.99469,0.99221,0.10391,0.05261,0.00085,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865
97,6291.31,0.26226,0.12808,0.00236,0.99071,0.99545,0.99466,0.99221,0.1037,0.05511,0.00085,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
98,6355.92,0.26107,0.12894,0.0024,0.99298,0.99373,0.99467,0.99227,0.10357,0.05618,0.00085,0.020397,0.006799,0.020397,0.006799,0.020397,0.006799,0.020397,0.006799
99,6422.35,0.25995,0.12737,0.00235,0.98993,0.99679,0.99465,0.99221,0.10335,0.05542,0.00084,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766
100,6487.02,0.25877,0.12494,0.00232,0.99348,0.99379,0.99466,0.99219,0.10337,0.05382,0.00084,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
101,6551.75,0.2552,0.12399,0.00228,0.9923,0.99536,0.99466,0.9922,0.1035,0.05156,0.00085,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
102,6616.42,0.25828,0.12597,0.00232,0.9923,0.99473,0.99465,0.99221,0.10331,0.05221,0.00085,0.020001,0.006667,0.020001,0.006667,0.020001,0.006667,0.020001,0.006667
103,6680.92,0.25905,0.12554,0.00231,0.99075,0.99492,0.99479,0.9924,0.10278,0.05305,0.00083,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
104,6748.79,0.25706,0.12731,0.00233,0.99286,0.99441,0.99485,0.99248,0.10268,0.05263,0.00083,0.019803,0.006601,0.019803,0.006601,0.019803,0.006601,0.019803,0.006601
